From src:'1'	To src:'2'
CHEMBL113537	DB07553
CHEMBL5314507	DB18885
CHEMBL905	DB00953
CHEMBL276520	DB08953
CHEMBL288040	DB16829
CHEMBL1163086	DB02510
CHEMBL1232313	DB02852
CHEMBL228057	DB03041
CHEMBL1097	DB17602
CHEMBL460910	DB08596
CHEMBL311730	DB19178
CHEMBL439009	DB03501
CHEMBL1908847	DB06727
CHEMBL1234952	DB08321
CHEMBL2104325	DB13545
CHEMBL278519	DB13275
CHEMBL1230062	DB07028
CHEMBL1454946	DB08974
CHEMBL435381	DB05095
CHEMBL12	DB00829
CHEMBL241577	DB07030
CHEMBL4744254	DB19035
CHEMBL1096	DB01025
CHEMBL378104	DB14122
CHEMBL3301595	DB12305
CHEMBL1541	DB00671
CHEMBL447664	DB06625
CHEMBL1013	DB00447
CHEMBL465123	DB06731
CHEMBL1164729	DB04854
CHEMBL4650314	DB16135
CHEMBL3545330	DB12715
CHEMBL55960	DB08100
CHEMBL1187319	DB08141
CHEMBL2105907	DB08795
CHEMBL41306	DB05824
CHEMBL405110	DB09241
CHEMBL336712	DB09305
CHEMBL471036	DB15038
CHEMBL58711	DB08600
CHEMBL4075348	DB16835
CHEMBL1241	DB00792
CHEMBL272485	DB13716
CHEMBL312448	DB06694
CHEMBL2104859	DB13412
CHEMBL1231327	DB03139
CHEMBL2398530	DB18049
CHEMBL1208309	DB02776
CHEMBL1231633	DB04233
CHEMBL970	DB00801
CHEMBL3914857	DB19110
CHEMBL62136	DB07080
CHEMBL64677	DB13837
CHEMBL204997	DB07207
CHEMBL1113	DB00543
CHEMBL3234237	DB12579
CHEMBL5095232	DB05642
CHEMBL1599	DB01139
CHEMBL380394	DB07322
CHEMBL516357	DB07045
CHEMBL259571	DB06083
CHEMBL211614	DB07757
CHEMBL582912	DB13461
CHEMBL1201794	DB03247
CHEMBL1233713	DB08004
CHEMBL220050	DB07278
CHEMBL9417	DB07575
CHEMBL2105458	DB04826
CHEMBL163238	DB12712
CHEMBL1198191	DB06929
CHEMBL1077896	DB00296
CHEMBL637	DB00285
CHEMBL75124	DB11324
CHEMBL1291	DB01214
CHEMBL363535	DB16886
CHEMBL1234088	DB08125
CHEMBL3287379	DB12796
CHEMBL221245	DB08706
CHEMBL121790	DB04480
CHEMBL372638	DB14029
CHEMBL151958	DB03351
CHEMBL74371	DB08331
CHEMBL42126	DB01791
CHEMBL285802	DB09225
CHEMBL1146	DB01326
CHEMBL2111088	DB05932
CHEMBL1175	DB00476
CHEMBL341273	DB07203
CHEMBL4	DB01165
CHEMBL67	DB14680
CHEMBL6444	DB08719
CHEMBL3989951	DB15439
CHEMBL1230044	DB07015
CHEMBL6056273	DB19143
CHEMBL2107799	DB18773
CHEMBL495597	DB07056
CHEMBL570775	DB07260
CHEMBL2105612	DB13660
CHEMBL256528	DB08581
CHEMBL3707363	DB13361
CHEMBL926	DB00841
CHEMBL391640	DB07211
CHEMBL135	DB00783
CHEMBL2103995	DB01542
CHEMBL307189	DB03475
CHEMBL113948	DB07592
CHEMBL1290	DB01359
CHEMBL460657	DB04224
CHEMBL1442934	DB11924
CHEMBL64934	DB03982
CHEMBL307697	DB05686
CHEMBL1257073	DB12020
CHEMBL199237	DB07459
CHEMBL2338329	DB04847
CHEMBL251073	DB08496
CHEMBL146095	DB08963
CHEMBL34062	DB02004
CHEMBL365617	DB07495
CHEMBL4204869	DB15391
CHEMBL146624	DB11721
CHEMBL2106370	DB11964
CHEMBL4802136	DB17237
CHEMBL1083390	DB12680
CHEMBL1078535	DB08494
CHEMBL2368925	DB00757
CHEMBL230963	DB16936
CHEMBL3039531	DB11922
CHEMBL400754	DB07167
CHEMBL2	DB00457
CHEMBL438303	DB08353
CHEMBL2396661	DB12015
CHEMBL1892145	DB13793
CHEMBL2105456	DB13286
CHEMBL2180408	DB12657
CHEMBL1256786	DB00983
CHEMBL2110796	DB13630
CHEMBL4441355	DB06250
CHEMBL1201216	DB00298
CHEMBL1229851	DB06936
CHEMBL5197302	DB05830
CHEMBL1165268	DB04711
CHEMBL63857	DB04824
CHEMBL428	DB00685
CHEMBL327715	DB01725
CHEMBL2105075	DB08976
CHEMBL4208229	DB12597
CHEMBL225210	DB07830
CHEMBL222002	DB08388
CHEMBL452596	DB07283
CHEMBL260880	DB07426
CHEMBL946	DB00719
CHEMBL1783256	DB12210
CHEMBL406572	DB06992
CHEMBL1234270	DB12676
CHEMBL1201342	DB00340
CHEMBL299233	DB09190
CHEMBL346331	DB11609
CHEMBL531472	DB15300
CHEMBL3039511	DB12464
CHEMBL799	DB01166
CHEMBL1200907	DB01108
CHEMBL314010	DB01295
CHEMBL1164920	DB19086
CHEMBL513301	DB09206
CHEMBL4640620	DB14073
CHEMBL1236924	DB05490
CHEMBL189607	DB04006
CHEMBL386051	DB02567
CHEMBL355048	DB03388
CHEMBL220320	DB07010
CHEMBL3989866	DB11799
CHEMBL223360	DB06080
CHEMBL3286830	DB12130
CHEMBL428690	DB03496
CHEMBL4596566	DB17692
CHEMBL139702	DB19281
CHEMBL3545278	DB12557
CHEMBL968	DB00690
CHEMBL1950289	DB11798
CHEMBL459324	DB01452
CHEMBL1171754	DB12929
CHEMBL1908351	DB12868
CHEMBL149502	DB02504
CHEMBL2105502	DB17856
CHEMBL4228124	DB12220
CHEMBL1476605	DB13237
CHEMBL572284	DB12882
CHEMBL1131	DB00459
CHEMBL936	DB01231
CHEMBL2103774	DB09070
CHEMBL1230612	DB07279
CHEMBL1821850	DB15797
CHEMBL2107825	DB09299
CHEMBL422704	DB14735
CHEMBL1062	DB14570
CHEMBL455706	DB01564
CHEMBL259771	DB05518
CHEMBL1213327	DB01992
CHEMBL104	DB00257
